words,links,capital_words,spam_word_count,is_spam
290,0,3,6,0
381,4,6,2,0
640,4,2,0,1
846,3,16,5,1
193,10,7,4,1
744,7,17,0,1
488,8,20,1,1
406,0,1,0,0
312,3,3,2,0
635,2,9,6,1
863,10,0,7,1
558,0,10,5,1
475,5,8,3,1
489,6,15,6,1
456,0,5,1,0
109,2,10,0,1
208,0,0,0,0
263,0,2,2,0
101,0,1,1,0
73,0,3,1,0
273,2,3,2,0
293,2,0,1,0
291,1,2,4,0
220,5,3,1,0
294,2,3,5,0
237,1,0,1,0
241,0,9,4,0
78,5,19,3,1
542,2,12,3,1
891,8,10,3,1
308,0,2,2,0
283,2,0,3,0
683,5,0,2,1
87,0,0,1,0
276,8,14,6,1
247,8,8,8,1
59,0,20,7,1
76,2,2,2,0
29,1,2,1,0
170,2,11,10,1
328,0,12,6,1
175,1,13,6,1
226,0,3,0,0
204,1,1,0,0
156,4,4,0,1
90,2,8,1,0
138,6,26,0,1
96,2,0,5,0
316,8,22,4,1
163,2,0,0,0
143,8,30,6,1
681,7,22,1,1
333,3,5,4,1
163,3,1,4,0
170,2,0,0,0
288,3,6,1,0
63,1,2,0,0
88,4,0,1,0
205,0,0,1,0
100,1,0,0,0
965,1,11,6,1
433,1,2,2,0
448,2,11,0,1
105,2,8,0,0
612,8,28,9,1
632,8,28,8,1
532,9,15,10,1
249,0,3,3,0
258,2,1,4,1
33,1,2,2,0
220,9,24,2,1
205,2,1,2,0
171,1,2,0,0
208,7,15,10,1
139,1,0,1,0
405,1,3,2,0
97,2,2,2,0
292,1,3,1,0
148,8,4,8,1
900,2,2,1,1
99,2,21,7,1
975,5,27,5,1
128,2,1,3,1
279,2,3,5,1
202,1,5,3,0
187,0,2,0,0
299,0,8,0,0
188,0,0,1,0
247,2,2,0,0
48,5,9,1,0
615,7,7,7,1
659,1,13,5,1
631,2,30,4,1
115,1,5,0,0
43,0,0,0,0
46,1,2,0,0
139,8,2,0,1
84,2,2,2,0
483,0,15,7,1
869,7,12,0,1
465,4,12,4,1
444,8,0,6,1
196,7,19,1,1
149,2,0,0,0
210,0,3,0,0
694,7,25,10,1
893,2,12,9,1
150,4,16,0,1
374,4,10,9,1
523,10,19,10,1
572,0,5,5,1
79,4,20,3,1
26,1,2,3,0
892,7,24,8,1
726,2,22,4,1
108,10,20,5,1
290,0,9,3,0
276,4,3,1,0
103,1,3,2,0
65,2,8,0,0
229,0,1,2,0
276,5,27,2,1
121,7,5,8,1
810,7,8,9,1
451,2,18,7,1
832,4,25,7,1
87,2,2,1,0
29,1,3,2,0
244,2,1,7,1
91,5,4,4,1
200,2,3,0,0
218,1,2,2,0
38,2,0,6,0
251,3,27,6,1
610,7,4,5,1
195,1,0,0,0
56,9,11,8,1
192,7,13,4,1
150,5,1,7,1
275,9,3,5,1
41,1,3,3,0
57,0,1,2,0
98,2,0,3,0
259,3,15,6,1
715,9,28,5,1
480,2,3,0,0
121,2,10,3,1
198,2,0,0,0
205,0,0,2,0
167,0,2,1,0
568,8,20,0,1
50,0,3,4,1
434,0,1,4,0
82,1,3,2,0
638,10,20,2,1
60,1,0,0,0
182,2,0,2,0
145,0,0,1,0
118,1,7,0,0
245,4,16,0,1
164,10,12,9,1
140,10,18,9,1
153,0,3,1,0
214,0,2,3,0
290,3,2,2,0
792,2,18,3,1
261,1,4,1,0
21,0,2,1,0
167,2,3,4,0
278,2,0,0,0
176,3,12,3,1
139,5,11,5,1
236,0,1,3,0
220,3,13,3,1
148,0,0,2,0
731,3,13,7,1
171,4,1,6,1
309,2,26,7,1
930,4,13,3,1
217,7,23,7,1
240,1,1,1,0
219,0,2,1,0
63,2,17,0,1
284,1,1,0,0
29,2,3,5,0
114,0,0,0,0
457,0,2,0,0
284,0,3,6,0
804,10,15,3,1
881,2,15,6,1
742,6,23,6,1
215,1,5,2,0
328,10,1,4,1
28,1,2,2,0
163,0,3,4,0
106,2,0,6,0
988,8,13,10,1
72,2,1,2,0
555,2,17,3,1
311,1,8,5,1
52,2,3,0,0
546,4,7,4,1
136,4,16,10,1
909,9,12,7,1
511,3,15,10,1
179,0,3,0,0
935,9,17,10,1
138,5,8,7,1
440,1,3,2,0
118,2,3,0,0
148,2,1,1,0
107,0,1,2,0
127,3,24,5,1
294,1,2,1,0
534,3,6,0,1
113,2,1,1,0
108,0,1,6,0
188,1,0,2,0
118,7,24,7,1
160,9,20,0,1
290,4,0,0,0
721,4,21,9,1
212,5,2,0,0
217,2,3,2,0
324,8,19,10,1
144,2,3,1,0
326,1,0,1,0
68,1,1,2,0
73,5,0,3,1
799,9,1,8,1
71,2,0,2,0
414,8,11,10,1
92,0,1,2,0
75,0,2,10,1
123,1,2,0,0
294,0,2,1,0
137,0,3,1,0
64,2,0,5,0
735,5,20,5,1
277,1,5,2,0
317,5,8,4,1
238,0,2,2,0
161,3,26,8,1
132,3,9,9,1
122,4,20,8,1
290,0,1,0,0
505,10,3,6,1
157,2,0,2,0
370,1,1,0,0
288,1,2,5,0
290,8,6,7,1
299,5,27,10,1
749,8,26,9,1
211,1,2,2,0
162,4,25,6,1
153,0,3,2,0
335,2,1,10,1
951,9,2,4,1
142,2,1,0,0
212,3,7,0,0
973,5,21,8,1
149,3,5,10,1
959,3,28,4,1
124,9,7,5,1
200,1,1,1,0
137,1,3,0,0
30,0,1,1,0
210,2,3,4,0
645,6,3,8,1
807,7,3,7,1
175,1,1,0,0
153,4,1,1,0
445,0,3,2,0
200,2,6,0,0
94,1,2,0,0
262,0,3,0,0
120,7,5,2,1
478,0,9,9,1
140,8,26,8,1
138,2,3,7,1
750,7,4,10,1
185,0,3,0,0
259,1,3,0,0
278,4,1,3,0
190,9,18,8,1
82,2,2,1,0
75,1,0,2,0
30,0,1,1,0
65,7,28,10,1
160,2,1,2,0
747,8,18,5,1
95,6,8,7,1
874,6,25,4,1
451,2,19,3,1
184,10,24,9,1
452,4,20,5,1
67,1,0,4,0
25,5,2,1,0
216,0,8,2,0
268,0,0,2,0
789,10,8,9,1
233,4,8,2,0
376,0,7,5,1
55,2,0,1,0
103,4,0,2,0
256,2,8,10,1
165,1,2,0,0
142,5,4,10,1
145,6,17,7,1
904,3,5,2,1
108,1,4,0,0
869,2,18,1,1
224,10,29,10,1
49,0,8,1,0
308,4,1,1,1
987,1,2,1,1
158,1,10,1,0
517,2,18,10,1
206,0,2,2,0
219,0,0,0,0
228,1,1,1,0
165,0,2,0,0
57,2,0,4,0
229,2,3,0,0
120,0,2,0,0
283,0,0,1,0
217,2,30,7,1
105,10,15,3,1
637,5,8,10,1
388,7,1,8,1
486,9,27,3,1
182,2,15,8,1
233,5,0,0,0
272,10,8,4,1
200,2,2,0,0
551,3,29,6,1
64,0,0,2,0
183,5,23,0,1
867,8,26,10,1
135,5,3,0,0
79,2,8,5,0
167,0,0,1,0
33,1,3,1,0
930,0,8,7,1
290,1,0,0,0
904,3,23,7,1
214,0,7,1,0
91,0,1,0,0
470,3,22,10,1
599,4,15,10,1
812,10,6,3,1
300,10,30,7,1
389,1,27,2,1
197,0,0,1,0
797,8,20,6,1
754,9,24,4,1
180,3,30,5,1
134,4,3,1,0
961,7,1,4,1
177,10,11,7,1
714,4,20,9,1
137,3,3,2,0
493,4,30,2,1
75,1,4,0,0
90,8,23,6,1
243,8,30,7,1
956,9,10,10,1
863,2,22,10,1
94,3,2,2,0
471,6,5,5,1
917,6,2,3,1
275,0,8,4,0
361,9,25,9,1
126,4,3,1,0
626,7,4,4,1
834,0,9,6,1
454,9,27,9,1
374,3,17,3,1
231,1,20,5,1
853,10,18,3,1
453,6,8,7,1
398,1,0,1,0
186,6,7,7,1
142,9,3,5,1
218,1,7,3,0
131,0,10,4,1
269,2,3,2,0
559,10,21,10,1
701,4,7,7,1
273,0,0,2,0
237,3,1,0,0
981,3,13,7,1
480,3,11,1,1
25,0,2,0,0
366,6,12,8,1
87,3,0,2,0
34,2,6,2,0
862,3,5,5,1
184,2,10,2,0
333,10,0,0,1
528,4,17,7,1
591,9,7,4,1
418,1,21,6,1
137,2,0,0,0
57,2,0,5,0
196,1,2,6,0
167,5,3,1,0
153,8,24,5,1
127,2,15,7,1
671,7,7,9,1
159,5,0,2,0
228,0,1,2,0
32,0,4,2,0
237,0,3,2,0
23,0,3,2,0
126,1,3,0,0
56,3,1,5,1
322,9,22,9,1
109,3,2,0,1
84,2,0,3,1
463,1,3,1,0
159,4,3,0,0
652,10,12,6,1
161,1,3,1,0
57,1,2,4,0
565,7,15,5,1
106,10,11,10,1
456,5,13,2,1
62,1,5,1,0
788,7,25,10,1
840,7,24,5,1
89,1,2,1,0
745,2,5,7,1
112,1,2,2,0
41,0,3,2,0
182,1,0,0,0
197,5,0,5,0
237,1,4,3,1
286,1,10,2,0
769,3,2,6,1
223,9,30,1,1
230,2,1,1,0
260,2,7,1,0
653,9,30,9,1
953,8,14,3,1
892,9,20,3,1
144,0,2,2,0
35,2,6,4,0
297,0,1,2,0
395,0,0,3,0
157,1,2,0,0
200,1,5,1,0
156,2,11,10,1
594,6,19,3,1
438,8,26,8,1
275,2,26,7,1
318,7,26,5,1
668,8,5,3,1
888,2,10,0,1
147,0,0,1,0
76,4,8,8,1
640,3,16,2,1
198,6,19,1,1
140,0,3,2,0
194,1,4,5,0
832,4,16,1,1
314,9,7,4,1
623,8,10,2,1
107,6,14,3,1
343,10,21,9,1
295,1,2,5,0
44,0,3,4,0
35,2,3,2,0
847,4,19,7,1
827,1,26,10,1
82,7,28,9,1
82,5,2,2,0
51,3,3,0,0
37,1,2,2,0
336,3,3,4,0
140,5,5,8,1
510,4,21,9,1
162,9,21,4,1
338,0,0,0,0
364,0,1,0,0
554,0,28,10,1
652,8,3,6,1
451,1,2,1,0
229,0,4,6,0
249,0,2,4,0
700,6,22,4,1
272,1,2,1,0
221,0,2,1,0
452,5,24,3,1
230,0,3,2,0
983,3,14,5,1
125,1,0,2,0
56,0,3,1,0
97,0,3,0,0
195,9,14,0,1
125,1,0,0,0
986,5,27,5,1
40,1,10,3,0
99,0,0,2,0
196,0,3,4,0
107,2,2,1,0
214,1,2,1,0
68,0,1,2,0
609,8,20,8,1
535,3,11,3,1
879,8,19,6,1
446,0,4,2,0
750,8,5,10,1
228,1,2,2,0
111,1,1,1,0
944,3,23,7,1
67,5,2,2,0
832,6,25,1,1
988,8,16,2,1
131,0,3,2,0
202,0,3,2,0
179,9,29,3,1
344,9,1,1,1
285,2,3,1,0
795,4,9,6,1
193,2,2,1,0
458,1,3,9,1
140,3,24,8,1
756,3,28,9,1
156,1,1,1,0
691,3,26,3,1
733,3,0,5,1
336,4,2,0,0
200,4,0,2,0
364,10,11,1,1
100,1,1,1,0
170,2,2,2,0
270,2,3,0,0
266,1,1,0,0
151,0,0,5,0
175,0,0,1,0
479,2,2,5,0
61,0,10,3,0
317,0,1,1,0
177,6,20,3,1
277,1,2,4,0
140,2,0,1,0
51,5,7,2,0
243,1,1,0,0
165,3,4,0,0
188,2,9,3,0
195,1,0,0,0
758,7,28,0,1
66,0,1,2,0
799,2,5,8,1
493,9,6,9,1
333,1,5,10,1
395,4,6,10,1
420,0,11,4,1
410,5,0,10,1
173,2,18,6,1
104,1,3,1,0
375,2,0,0,0
120,1,3,0,0
170,10,26,6,1
178,0,1,0,0
83,1,0,0,0
816,0,28,10,1
274,2,2,5,1
167,2,0,2,0
185,0,3,1,0
641,1,8,7,1
384,2,1,0,0
161,1,3,1,0
119,0,2,0,0
261,6,5,5,1
115,1,3,1,0
426,0,2,1,0
85,2,0,2,0
205,1,1,1,0
438,7,5,6,1
936,3,29,4,1
449,1,3,1,0
83,2,0,0,0
753,8,11,8,1
422,7,2,7,1
47,0,0,1,0
124,0,28,7,1
164,3,0,2,0
470,3,5,5,1
301,9,6,7,1
668,9,1,5,1
116,2,5,0,0
212,0,0,2,0
50,10,0,4,1
505,5,7,10,1
282,2,1,0,0
429,2,1,2,0
255,2,26,1,1
806,10,23,7,1
124,2,29,5,1
649,7,11,0,1
464,7,9,9,1
36,0,3,2,0
32,1,2,0,0
74,2,3,0,0
288,5,1,2,0
696,7,30,3,1
860,9,13,10,1
21,2,3,1,0
48,2,0,5,0
122,8,12,8,1
93,1,3,0,0
21,2,1,1,0
232,1,0,1,0
288,7,18,3,1
300,4,18,6,1
189,1,2,1,0
232,0,3,1,0
791,9,27,6,1
791,2,30,1,1
272,0,1,2,0
575,5,27,4,1
247,0,1,4,0
593,5,3,10,1
313,10,28,10,1
202,2,0,0,0
210,0,0,4,0
619,2,29,8,1
363,1,2,0,0
574,7,0,10,1
273,0,1,2,0
757,7,19,6,1
615,9,7,6,1
149,1,0,1,0
155,2,8,1,0
56,3,1,2,0
158,6,20,10,1
277,2,1,2,0
759,2,1,2,1
125,5,8,3,1
185,1,1,3,0
197,0,1,2,0
257,0,2,0,0
140,8,15,5,1
880,5,22,5,1
657,5,28,3,1
210,3,5,0,0
260,8,5,4,1
121,5,3,0,0
695,8,5,3,1
632,0,24,4,1
490,3,30,1,1
934,7,11,4,1
333,2,2,4,0
87,10,9,8,1
838,2,2,3,1
90,4,27,10,1
119,0,27,7,1
23,0,1,1,0
830,9,23,10,1
149,2,8,0,0
159,0,2,1,0
497,3,5,7,1
252,2,1,1,0
659,2,27,3,1
282,4,26,6,1
247,1,2,2,0
782,6,6,8,1
76,4,0,2,0
165,0,1,1,0
108,1,2,0,0
627,8,8,6,1
180,2,0,1,0
125,2,6,0,0
806,7,19,3,1
793,3,20,3,1
66,0,1,0,0
425,1,2,0,0
56,2,3,0,0
585,9,9,0,1
100,2,10,2,1
166,0,9,0,0
368,1,4,1,0
749,2,0,4,1
388,1,9,8,1
447,2,0,0,0
326,3,10,5,0
331,2,2,4,0
161,5,8,6,1
318,3,2,7,1
157,1,1,1,0
145,2,2,0,0
172,2,2,2,0
283,2,0,1,0
332,10,13,1,1
249,0,3,2,0
194,8,5,8,1
25,4,0,5,0
126,1,2,1,0
178,3,1,0,0
20,3,2,1,0
121,8,10,8,1
195,0,0,1,0
130,1,2,5,0
188,2,17,9,1
277,2,1,1,0
144,0,0,9,1
182,2,5,4,0
108,4,3,0,0
519,6,5,10,1
596,9,29,7,1
242,1,1,3,0
530,10,21,7,1
223,0,0,1,0
70,2,7,2,0
281,2,4,6,1
291,9,22,6,1
116,2,24,1,1
283,0,2,2,0
206,1,0,1,0
130,3,13,5,1
990,3,24,7,1
29,0,2,0,0
260,3,2,1,0
741,3,13,10,1
296,0,1,1,0
666,3,20,4,1
110,0,3,1,0
876,7,0,8,1
422,2,1,0,0
672,5,23,4,1
175,1,3,1,0
241,1,10,1,0
615,2,14,4,1
165,1,3,2,0
277,3,0,1,0
292,1,2,1,0
208,1,5,2,0
245,0,1,2,0
56,0,2,1,0
885,1,25,4,1
390,7,26,5,1
246,4,1,0,0
217,8,24,2,1
295,2,1,3,0
131,2,27,10,1
88,1,5,1,0
189,4,2,0,0
731,10,0,8,1
149,6,5,0,1
101,9,16,3,1
504,2,29,7,1
149,1,8,10,1
415,5,3,1,0
215,1,1,0,0
255,4,1,4,0
286,1,7,4,0
180,5,7,10,1
69,0,2,2,0
164,2,0,8,1
180,0,8,4,1
958,2,2,4,1
140,2,20,3,1
184,5,27,10,1
273,4,6,8,1
250,0,2,2,0
183,4,2,3,0
123,10,9,4,1
735,10,29,1,1
171,6,14,10,1
820,3,20,6,1
174,6,29,5,1
109,1,1,1,0
97,0,3,0,0
170,6,25,1,1
574,9,1,5,1
269,0,7,0,0
670,2,13,10,1
166,2,5,4,1
88,0,1,1,0
972,7,13,5,1
430,7,5,9,1
464,2,3,1,0
863,7,17,5,1
447,10,5,4,1
138,2,28,7,1
250,2,0,1,0
965,10,10,8,1
183,0,2,0,0
177,2,1,0,0
265,3,3,2,0
38,0,0,2,0
25,2,7,0,0
165,1,2,1,0
187,0,8,2,0
134,0,2,5,0
254,1,2,2,0
253,2,6,2,0
268,0,2,1,0
254,0,0,1,0
183,0,2,0,0
82,10,8,0,1
337,0,9,0,0
219,1,8,0,0
110,9,12,0,1
165,2,3,0,0
132,0,26,5,1
554,5,7,6,1
525,3,20,1,1
113,0,2,4,0
183,2,2,5,0
39,0,0,2,0
63,2,3,2,0
148,2,7,1,0
242,2,2,2,0
983,5,4,7,1
173,2,1,1,0
130,8,10,3,1
476,10,11,8,1
292,7,3,10,1
86,2,3,1,0
157,2,2,8,1
236,1,10,2,0
132,6,14,7,1
155,4,15,10,1
739,5,5,5,1
215,5,2,5,0
343,4,13,7,1
168,0,0,1,0
237,3,0,6,0
33,0,1,1,0
490,5,7,7,1
31,0,8,4,0
229,1,0,6,0
195,5,6,1,1
136,4,1,2,0
134,2,16,2,1
187,4,10,3,0
665,3,4,10,1
216,0,2,2,0
268,0,2,2,0
116,1,11,0,1
417,4,4,8,1
95,1,3,1,0
476,0,1,2,0
264,2,1,0,0
157,0,23,8,1
27,1,2,2,0
114,4,2,1,0
314,6,26,10,1
45,0,0,5,0
375,5,24,1,1
92,5,27,10,1
869,3,26,6,1
910,8,4,1,1
76,1,15,4,1
247,1,7,6,1
407,10,10,3,1
116,2,3,1,0
633,8,19,7,1
495,1,1,3,0
21,0,2,4,0
220,2,0,2,0
218,2,3,1,0
118,5,30,7,1
176,1,2,1,0
244,2,0,1,0
589,2,3,10,1
435,2,0,1,0
133,2,1,0,1
303,4,0,1,0
173,1,7,2,1
258,5,9,2,0
92,0,3,1,0
155,9,30,1,1
33,1,1,1,0
611,4,22,4,1
52,2,0,1,0
201,1,0,2,0
468,7,20,0,1
379,3,14,10,1
306,5,8,0,0
124,2,0,2,0
997,2,17,4,1
473,1,0,1,0
475,0,0,2,0
141,2,2,1,0
393,7,20,4,1
55,7,22,10,1
496,2,2,2,0
843,5,8,5,1
740,8,14,6,1
723,8,30,6,1
188,2,2,1,0
163,5,0,1,0
70,2,3,0,0
251,5,5,0,0
184,0,18,5,1
253,0,3,1,0
364,3,23,6,1
526,2,24,6,1
30,2,1,0,0
204,0,3,1,0
519,4,0,4,1
393,4,6,9,1
65,5,2,2,0
300,0,1,1,0
189,0,2,6,0
178,2,5,3,1
266,1,3,2,0
128,2,2,2,0
167,2,17,6,1
155,2,17,5,1
430,8,16,3,1
64,1,2,0,0
57,1,10,2,0
251,3,4,2,0
175,2,3,1,0
39,2,3,2,0
184,2,0,0,0
92,4,5,2,0
76,1,2,0,0
185,3,3,3,0
186,5,5,9,1
295,0,3,1,0
292,1,3,1,0
616,7,5,4,1
290,1,2,2,0
67,1,3,1,0
394,3,22,0,1
161,8,26,9,1
90,2,1,1,0
56,4,30,8,1
188,1,3,0,0
260,1,1,1,0
175,2,2,2,0
178,0,8,2,0
539,4,4,3,1
868,7,5,7,1
651,10,1,9,1
57,0,2,0,0
184,4,1,2,0
244,2,1,2,0
179,4,1,2,0
307,4,26,10,1
313,1,2,1,0
411,1,3,2,0
27,1,6,2,0
190,6,13,6,1
420,2,0,1,0
777,3,28,3,1
95,5,1,0,0
82,4,5,3,1
58,1,0,1,0
204,3,1,2,0
286,0,3,2,0
902,7,9,1,1
170,2,9,2,0
927,8,9,9,1
292,1,3,0,0
763,6,1,3,1
451,1,29,10,1
214,5,29,4,1
67,4,7,2,0
165,1,10,1,0
613,6,5,9,1
43,0,1,1,0
548,5,2,10,1
971,0,13,3,1
409,5,16,2,1
239,2,1,4,0
121,6,20,9,1
88,4,2,2,0
285,1,2,1,0
282,1,1,1,0
107,4,18,8,1
269,1,3,3,0
583,4,19,4,1
98,6,3,6,1
285,0,3,1,0
143,4,5,4,1
586,10,29,2,1
171,0,1,0,0
129,6,20,1,1
359,9,7,8,1
113,4,0,0,0
164,2,26,10,1
923,6,19,9,1
56,2,2,1,0
923,4,22,6,1
49,0,2,4,0
47,2,0,2,0
340,0,2,2,0
275,0,0,3,0
458,7,16,8,1
614,4,28,0,1
158,9,25,9,1
29,0,1,2,0
26,2,1,2,0
176,2,1,2,0
108,0,0,9,1
193,0,0,2,0
157,2,13,5,1
247,10,2,6,1
482,3,16,6,1
145,1,2,0,0
466,0,28,9,1
865,7,10,8,1
772,4,14,2,1
253,2,0,1,0
151,1,2,1,0
248,2,1,2,0
183,8,13,9,1
738,3,2,8,1
73,2,4,1,0
470,2,0,3,0
38,1,6,1,0
138,9,5,9,1
599,7,9,9,1
28,4,1,1,0
230,0,1,0,0
156,2,2,1,0
911,3,17,4,1
557,2,25,1,1
151,2,2,4,0
805,10,3,1,1
181,7,30,6,1
119,4,4,3,1
411,2,3,2,0
337,9,25,4,1
346,1,4,5,0
431,9,21,2,1
791,8,19,8,1
304,0,4,1,0
502,2,4,5,1
81,10,22,8,1
226,2,3,2,0
165,2,3,5,0
84,1,14,10,1
190,1,1,1,0
468,9,12,7,1
412,1,2,2,0
208,5,3,0,0
173,5,1,2,0
375,2,0,2,0
134,9,11,1,1
278,5,2,0,0
441,0,3,2,0
811,10,10,8,1
375,3,3,3,1
727,8,11,8,1
271,1,0,2,0
474,7,27,5,1
291,4,1,10,1
119,8,24,8,1
273,2,26,6,1
178,1,2,2,0
47,2,0,2,0
67,2,0,0,0
599,2,18,9,1
152,2,1,2,0
959,5,21,5,1
298,2,2,3,0
874,8,5,8,1
245,1,5,5,1
213,7,7,2,1
138,5,14,0,1
163,1,1,3,0
67,0,6,5,0
56,9,3,3,1
864,9,29,4,1
29,1,3,2,0
133,0,2,0,0
24,4,0,5,0
239,2,0,0,0
134,4,29,7,1
127,9,2,7,1
504,3,0,10,1
148,0,1,6,0
145,2,3,0,0
113,10,9,6,1
396,8,24,2,1
447,1,8,2,0
120,1,5,0,0
225,4,10,2,0
220,2,1,1,0
371,4,7,6,1
275,2,3,0,0
174,0,4,2,0
469,0,10,3,1
232,6,29,9,1
64,5,9,2,1
228,1,0,0,0
80,3,1,0,0
80,9,8,8,1
226,3,19,4,1
366,2,1,1,0
300,0,1,1,0
296,2,28,9,1
253,0,3,0,0
199,5,17,2,1
753,1,5,3,1
415,6,29,6,1
170,0,3,1,0
176,8,24,1,1
460,5,19,4,1
118,0,1,5,1
366,0,5,0,0
661,7,14,7,1
260,0,3,5,0
119,9,9,10,1
457,2,1,2,0
145,2,7,2,0
156,1,9,1,0
191,2,1,4,1
86,5,27,8,1
220,1,0,0,0
314,5,15,7,1
933,3,29,4,1
185,4,26,2,1
951,8,8,6,1
380,1,0,1,0
40,2,8,1,0
427,3,16,6,1
281,0,30,4,1
60,1,2,2,0
110,1,18,9,1
78,2,0,2,0
624,9,11,9,1
138,0,4,1,0
764,10,23,3,1
679,7,14,7,1
650,6,17,9,1
753,4,0,2,1
262,2,3,2,0
875,3,30,8,1
715,2,14,7,1
496,2,3,0,0
429,7,26,10,1
743,7,19,5,1
70,2,0,1,0
78,1,9,2,0
162,0,3,1,0
304,1,7,0,0
272,1,0,0,0
280,0,2,6,0
297,2,13,7,1
212,4,3,0,0
723,2,3,5,1
446,8,3,10,1
723,6,18,3,1
665,7,29,10,1
785,5,17,4,1
948,5,26,1,1
438,4,1,0,0
242,1,1,2,0
385,3,25,8,1
264,0,0,2,0
53,0,0,1,0
228,1,1,5,0
157,2,16,10,1
174,0,2,1,0
193,2,0,8,1
262,0,3,1,0
181,2,12,2,1
141,10,29,5,1
178,3,20,3,1
224,1,6,2,0
162,5,5,9,1
218,6,18,9,1
85,9,0,7,1
209,1,2,0,0
905,5,5,7,1
812,9,13,7,1
52,7,12,7,1
888,7,9,8,1
188,7,10,7,1
172,3,2,2,0
216,1,0,1,0
899,2,21,7,1
171,1,1,1,0
170,6,27,7,1
145,0,16,3,1
742,7,6,3,1
23,0,1,6,0
721,3,27,3,1
157,3,15,3,1
628,2,15,4,1
192,0,29,4,1
748,3,22,10,1
283,1,1,1,0
918,6,1,5,1
375,3,23,9,1
101,1,2,2,0
329,1,2,1,0
274,4,0,2,0
53,2,2,2,0
292,0,1,0,0
139,2,10,0,0
91,3,3,0,0
217,1,1,2,0
379,0,3,2,0
429,0,3,2,0
173,9,11,1,1
865,10,5,6,1
332,7,5,6,1
220,2,2,1,0
945,2,9,1,1
111,2,7,3,1
22,5,1,0,0
130,2,0,2,0
633,1,19,2,1
786,8,9,0,1
96,2,0,1,0
42,2,1,0,0
83,2,23,3,1
132,3,23,3,1
352,4,15,4,1
803,10,1,8,1
260,2,10,2,0
244,5,7,3,1
577,3,19,5,1
664,10,6,7,1
35,2,0,2,0
685,3,24,10,1
529,2,30,9,1
201,2,9,2,0
330,1,3,3,1
158,1,2,2,0
54,1,6,0,0
263,1,0,2,0
261,10,27,6,1
394,9,5,5,1
289,2,3,0,0
955,8,30,7,1
528,9,16,9,1
450,1,7,0,0
166,2,7,1,0
231,3,9,9,1
473,10,11,4,1
142,9,24,10,1
246,9,19,3,1
288,3,1,1,0
583,2,10,6,1
647,7,22,9,1
163,6,23,3,1
86,2,1,2,0
104,2,3,0,0
220,2,0,1,0
